unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1.67581E+12,08/02/2023 00:00,BTC/EUR,21717,21877.77,21185.98,21456.8,2.09323452,44914.11445
1.67573E+12,07/02/2023 00:00,BTC/EUR,21262.18,21772.79,21252.87,21717,3.69117717,80161.2946
1.67564E+12,06/02/2023 00:00,BTC/EUR,21281.99,21613.15,21026.92,21262.18,5.56564967,118337.8451
1.67556E+12,05/02/2023 00:00,BTC/EUR,21646.61,21811.92,21141,21281.99,1.85985831,39581.48595
1.67547E+12,04/02/2023 00:00,BTC/EUR,21771.56,21877.77,21605.2,21646.61,0.43989323,9522.197191
1.67538E+12,03/02/2023 00:00,BTC/EUR,21535.01,21899.05,21376.53,21771.56,11.70159799,254762.0427
1.6753E+12,02/02/2023 00:00,BTC/EUR,21572.67,22143.17,21475.33,21535.01,9.92736451,213785.894
1.67521E+12,01/02/2023 00:00,BTC/EUR,21336.24,21710.11,20985.42,21572.67,2.08954628,45077.09235
1.67512E+12,31/01/2023 00:00,BTC/EUR,21081.47,21420.96,20995.25,21336.24,2.21585833,47278.08513
1.67504E+12,30/01/2023 00:00,BTC/EUR,21912.09,21912.09,20806.24,21081.47,4.82902634,101802.9739
1.67495E+12,29/01/2023 00:00,BTC/EUR,21227.07,22061.41,21195.18,21912.09,4.22895249,92665.18757
1.67486E+12,28/01/2023 00:00,BTC/EUR,21257.4,21467.39,21099.52,21227.07,0.40127307,8517.851546
